"longitude","latitude","five_spp_cpue_2020_std","bathymetry_2020_std","bottom_temperature_2020_std","surface_net_primary_production_2020_std","fishing_activity_hours_2020_std","ship_density_route_2020_std","bottom_salinity_2020_std","bottom_dissolved_oxygen_2020_inv_std","dumping_site_2020","military_area_2020","wind_farm_2020","bedrock_seabed_2020","hard_bottom_seabed_2020","distance_class","distance_class_interpretation"
11.17765369,54.24932413,-0.086632813,-1.067462536,1.342302221,-0.01063465,0.772574892,-0.383945477,0.375819457,-0.461483305,0,1,0,0,1,46,"medium attention"
20.87765369,55.44932413,-0.315267209,-0.743155602,-0.076454752,0.087061775,-0.521591503,-0.395333938,-0.874383638,-0.872142385,0,1,0,0,1,24,"medium attention"
17.47765369,55.54932413,-0.36849455,-0.786760678,0.285185025,-0.148735844,-0.0933039,-0.117455474,-0.849238784,-0.883732688,0,0,1,0,1,20,"medium attention"
20.97765369,55.84932413,-0.293503375,-1.03424303,0.706659299,1.314825851,-0.501193811,-0.320929322,-0.941130082,-0.901307411,0,0,0,0,1,26,"low attention"
20.87765369,56.44932413,-0.283026945,-1.168483329,0.744964652,0.537376961,-0.519545339,-0.352057784,-0.938493277,-0.944632242,0,1,0,0,1,14,"medium attention"
11.67765369,56.94932413,-0.589899695,-0.174299114,0.683380769,-0.438245884,1.295625404,-0.024829319,2.412833016,-0.256198738,0,0,0,0,1,28,"medium attention"
20.37765369,55.94932413,-0.073193327,-0.385107242,-0.828399995,-0.160876689,-0.07904473,-0.3672424,-0.86540583,-0.842289586,0,0,1,0,1,37,"low attention"
14.97765369,55.44932413,1.089906879,0.96878705,0.293928565,-0.281159267,-0.346612563,3.425874568,0.108905719,0.399305459,1,0,0,0,1,30,"medium attention"
11.07765369,55.24932413,-0.240519245,-0.508904458,0.681652996,-0.160346735,0.498037315,4.330118425,1.497183112,-0.315365466,0,0,0,0,1,31,"medium attention"
9.677653694,55.44932413,-0.517020416,-1.414890269,1.437184129,0.620582731,-0.497101485,0.854359922,0.589654977,-0.593501273,0,0,0,0,1,9,"high attention"
20.87765369,56.34932413,-0.29477525,-1.168320186,0.746513285,0.707884616,-0.521591503,-0.375593938,-0.950103299,-0.938525191,0,1,0,0,1,14,"medium attention"
18.07765369,54.94932413,-0.051911296,-0.597399888,-0.15768605,0.204267268,-0.256261668,-0.125047781,-0.833696365,-0.842675474,0,0,0,0,1,20,"medium attention"
10.57765369,54.84932413,-0.194675171,-1.312375274,1.494447823,-0.092677411,-0.256677285,1.17399608,0.270564032,-0.709317158,0,0,0,0,1,8,"medium attention"
11.27765369,56.44932413,-0.118471847,-0.87183507,1.131673633,-0.405763667,-0.49473561,0.076148375,2.082829994,-0.313437915,0,0,0,0,1,55,"medium attention"
20.97765369,56.04932413,-0.30203193,-1.066482343,0.750226855,1.115003823,-0.521591503,-0.396093169,-0.950715796,-0.911534413,0,0,0,0,1,26,"low attention"
11.87765369,56.44932413,-0.41042703,-0.379689718,0.759668793,-0.446215286,3.669878254,-0.050643165,2.347948535,-0.066034668,0,0,1,0,1,44,"medium attention"
20.67765369,56.24932413,-0.315734575,-0.498570547,-0.068930564,-0.07774545,-0.518202545,-0.280690091,-0.8848209,-0.863901015,0,1,0,0,1,24,"medium attention"
10.87765369,54.84932413,-0.261072822,-0.871927383,0.976645079,-0.127164342,1.280407032,4.515370735,0.842236352,-0.566270024,0,0,0,0,1,31,"medium attention"
20.77765369,56.24932413,-0.312250859,-0.714017489,0.463151022,0.077640946,-0.511040973,-0.360409323,-0.899715308,-0.8802197,0,1,0,0,1,14,"medium attention"
17.37765369,55.54932413,0.448887711,-0.787768839,0.488217744,-0.145843923,-0.40208277,-0.23134009,-0.850729909,-0.905603456,0,0,1,0,1,20,"medium attention"
10.97765369,54.84932413,-0.212889898,-1.170821838,1.253377523,0.015237759,-0.482490599,5.383171514,0.409974243,-0.661215564,0,0,0,0,1,43,"medium attention"
11.57765369,56.54932413,-0.317322558,-0.474513402,0.936317059,-0.444527498,2.309819005,-0.320929322,2.354945176,-0.061198919,0,0,0,0,1,28,"medium attention"
11.57765369,56.24932413,-0.285962752,-0.700027935,1.017636626,-0.404057567,-0.08419211,-0.343706246,2.118607591,-0.257848945,0,0,0,0,1,55,"medium attention"
11.47765369,56.64932413,-0.249176491,-1.116921156,1.328706581,-0.413949375,0.754862758,-0.396093169,1.335816958,-0.568377275,0,0,0,0,1,46,"medium attention"
