longitude,latitude,all_spp_cpue_2020,five_spp_cpue_2020,cod_cpue_2020,all_spp_old_2020,five_spp_old_2020,cod_old_2020,bathymetry_2020,bottom_temperature_2020,cod_spawning_area_2020,dumping_site_2020,military_area_2020,surface_net_primary_production_2020,bottom_dissolved_oxygen_2020,fishing_activity_hours_2020,seabed_type_2020,ship_density_route_2020,bottom_salinity_2020,wind_farm_2020
12.67765369,55.04932413,65567.656,61080.445,33285.594,143.11778,108.00098,34.886955,23.503399,10.976085,0.5,0,0,2805.5706,301.43082,43.849998,2,231,12.180387,0
10.07765369,54.54932413,86206.094,83223.523,1510.5052,145.46829,105.05682,5.6090469,22.131739,10.819912,1,0,1,3361.0049,240.02129,71.480003,2,125,20.229992,0
11.77765369,54.44932413,51198.207,47178.809,260.57263,146.39012,104.88173,5.9475389,20.400579,10.80045,0,0,1,3393.3252,276.14209,5.5100002,2,470,17.530851,0
10.97765369,56.74932413,84860.203,74358.969,12.933333,146.66272,103.10666,2.985661,11.525834,10.952225,0,0,0,2541.8342,280.60281,0,2,716,27.527327,0
10.07765369,54.64932413,93368.555,90619.141,946.44983,146.82272,112.90513,5.0189028,16.56303,10.851378,0,0,1,3194.0405,267.44812,317.29001,2,60,19.515621,0
10.97765369,54.94932413,39372.133,37975.465,156.60001,147.28297,101.11024,5.1890397,18.485086,10.351084,1,0,0,3071.3154,278.92096,82.379997,2,9650,22.200735,0
11.07765369,55.04932413,39372.133,37975.465,156.60001,147.28297,101.11024,5.0826721,18.544426,10.405167,0,0,0,3004.5725,273.12897,29.74,2,5,22.748896,0
12.77765369,54.94932413,83083.922,76492.914,38539.156,149.72537,112.80736,34.095261,31.430506,10.751159,0,0,0,2791.9368,298.16531,188.47,2,59,12.260032,0
20.97765369,55.74932413,158104.12,65067.391,33028.191,149.95723,66.706711,40.925606,24.92976,9.3039799,0,0,0,6970.3936,328.04111,34.790001,2,93,7.0814419,0
12.97765369,55.14932413,60597.785,54339.469,20508.111,150.57738,112.16875,33.077038,33.36454,10.592859,0.5,0,0,2905.4688,291.67905,11.1,2,902,11.583312,0
11.57765369,57.34932413,42385.172,24534.797,576.54395,150.95618,55.941956,7.7831779,61.014538,8.9338179,0,0,0,2190.7722,259.53391,837.62,2,2699,34.30632,0
12.17765369,54.74932413,74662.703,61597.41,1953.2944,151.41513,102.11278,8.1255665,14.719648,11.04948,0,0,0,3674.7705,303.84924,2.3499999,2,19,12.783837,0
20.87765369,55.34932413,87899.711,59858.59,22673.162,153.72966,95.292969,36.499226,26.399212,9.2333183,0,0,0,4138.8901,328.4541,0,2,0,7.1911459,0
12.27765369,54.84932413,63677.383,53466.051,1576.4133,154.41167,106.98911,8.5675716,20.218,10.962284,0,0,0,3486.8403,294.11612,1.75,2,0,13.551468,0
10.37765369,56.14932413,101276.47,59214.699,687,155.29329,79.478294,9.369525,13.058843,10.850368,0,0,0,3025.6826,273.3866,5.0100002,2,0,25.355104,0
10.27765369,56.14932413,101276.47,59214.699,687,155.29329,79.478294,9.2773705,13.046542,10.938678,0,0,0,3901.8643,272.91278,2.8099999,2,4,25.095482,0
12.57765369,55.04932413,88931.406,83071.531,45513.859,157.34984,120.92861,34.973083,20.67971,11.076909,0,0,0,2923.2944,307.71405,9.8299999,2,64,11.430555,0
12.87765369,54.94932413,119177.6,110033,60996.668,158.444,115.69725,32.052372,32.848701,10.619917,0,0,0,2804.012,299.5744,206.14,2,59,11.698729,0
11.27765369,54.04932413,64928.602,58909.867,4722.6665,160.22176,106.41776,13.270638,11.373974,11.394521,0,0,0,3904.686,246.24243,36.27,2,166,16.761293,0
11.17765369,54.24932413,109516.21,105225.34,15437.777,160.22176,106.41776,12.578796,12.999438,11.089599,0,0,1,3485.1917,273.75433,404.79001,2,16,17.174118,0
12.57765369,54.94932413,75416.43,69643.75,33108.691,161.04114,123.89294,39.629204,17.702452,10.980256,0.5,0,0,3009.0681,306.35001,59.240002,2,210,11.569689,0
14.37765369,54.84932413,130263.41,109533.17,78355.938,162.89656,119.28979,63.782703,17.804832,10.652184,0,0,0,3429.0989,320.41528,90.349998,2,37,8.4407921,0
20.67765369,55.24932413,76501.195,55827.523,16588.434,164.66679,102.14448,33.00959,22.533201,9.8082123,0,0,0,3541.5994,327.87555,0,2,9,7.1613274,0
20.87765369,55.44932413,91478.703,60740.641,25704.771,164.66679,102.14448,36.499226,22.252935,8.7461252,0,0,1,3804.2441,327.05551,0,2,1,7.2891974,0
18.07765369,55.04932413,132307.94,83404.664,74960,164.75513,96.816933,73.790154,42.40501,7.4409094,0,0,0,3555.1069,293.48224,38.790001,2,348,8.3358288,0
